"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jan 21 02:12:31 GMT 2025","Tue Jan 21 02:12:31 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова"" group and comparison of statics.",""
"passed","Tue Jan 21 01:50:27 GMT 2025","Tue Jan 21 01:50:27 GMT 2025","51","tests","header_test","TestHeaderPage","","","Verify size of the image in the 'Logo' link",""
"skipped","Tue Jan 21 02:09:25 GMT 2025","Tue Jan 21 02:09:25 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Предложения"" group and compare UI vs BACKEND data.",""
"failed","Tue Jan 21 01:49:45 GMT 2025","Tue Jan 21 01:49:50 GMT 2025","4945","tests","header_test","TestHeaderPage","","","Verify if internal links in the Header lead to correct pages after click",""
"passed","Tue Jan 21 02:03:55 GMT 2025","Tue Jan 21 02:03:55 GMT 2025","79","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence, visibility and attributes of the image in the section 1",""
"failed","Tue Jan 21 02:01:51 GMT 2025","Tue Jan 21 02:01:51 GMT 2025","674","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an unauthorized user 
                         to the correct page after clicking",""
"broken","Tue Jan 21 01:42:49 GMT 2025","Tue Jan 21 01:43:29 GMT 2025","40409","tests","description_page_test","TestDescriptionPage","","","Verify return main page from description page.",""
"broken","Tue Jan 21 01:44:36 GMT 2025","Tue Jan 21 01:45:17 GMT 2025","40438","tests","description_page_test","TestDescriptionPage","","","Verify redirection to specialists page not authorized user.",""
"broken","Tue Jan 21 01:46:15 GMT 2025","Tue Jan 21 01:46:56 GMT 2025","40446","tests","description_page_test","TestDescriptionPage","","","Verify redirection to used resources page not authorized user.",""
"passed","Tue Jan 21 02:01:15 GMT 2025","Tue Jan 21 02:01:15 GMT 2025","33","tests","specialists_page_test","TestSpecialistsPage","","","Verify value of title with tag 'h2' on the page",""
"passed","Tue Jan 21 01:40:33 GMT 2025","Tue Jan 21 01:40:34 GMT 2025","168","tests","contacts_page_test","TestContactsPage","","","Verify presence, visibility of sections, the dividing line and elements with text on the page",""
"passed","Tue Jan 21 01:49:26 GMT 2025","Tue Jan 21 01:49:26 GMT 2025","219","tests","header_test","TestHeaderPage","","","Verify values of the text in links, buttons in the Header",""
"passed","Tue Jan 21 01:47:30 GMT 2025","Tue Jan 21 01:47:35 GMT 2025","4130","tests","footer_test","TestFooter","","","Verify clickability, href, prefix and subject, status code of links in the Footer",""
"passed","Tue Jan 21 02:00:42 GMT 2025","Tue Jan 21 02:00:42 GMT 2025","30","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence and visibility of content on the page",""
"passed","Tue Jan 21 01:59:56 GMT 2025","Tue Jan 21 01:59:57 GMT 2025","755","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty confirm password",""
