"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 10 01:48:21 GMT 2025","Fri Jan 10 01:48:22 GMT 2025","1219","tests","description_page_test","TestDescriptionPage","","","Verify redirection to telegram page not authorized user.",""
"broken","Fri Jan 10 02:21:30 GMT 2025","Fri Jan 10 02:21:30 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify that links in the sections lead to the correct pages after clicking",""
"passed","Fri Jan 10 02:06:35 GMT 2025","Fri Jan 10 02:06:35 GMT 2025","63","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify size of the image in the section 1",""
"passed","Fri Jan 10 02:06:14 GMT 2025","Fri Jan 10 02:06:14 GMT 2025","82","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify content of the text in sections 1, 2",""
"broken","Fri Jan 10 02:20:01 GMT 2025","Fri Jan 10 02:20:01 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify text in links in sections",""
"skipped","Fri Jan 10 02:10:19 GMT 2025","Fri Jan 10 02:10:19 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Похожие фразы"" group and compare UI vs BACKEND data.",""
"passed","Fri Jan 10 02:03:26 GMT 2025","Fri Jan 10 02:03:26 GMT 2025","744","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty password",""
"passed","Fri Jan 10 02:03:45 GMT 2025","Fri Jan 10 02:03:45 GMT 2025","687","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing gender",""
"passed","Fri Jan 10 02:02:54 GMT 2025","Fri Jan 10 02:03:06 GMT 2025","12114","tests","profile_page_test","TestProfilePage","","","Change the password by receiving an email link",""
"passed","Fri Jan 10 01:45:52 GMT 2025","Fri Jan 10 01:45:52 GMT 2025","143","tests","contacts_page_test","TestContactsPage","","","Verify the composition and visibility of elements 
        on the 1st-5th levels of nesting in the section 2",""
"passed","Fri Jan 10 01:51:40 GMT 2025","Fri Jan 10 01:51:40 GMT 2025","256","tests","footer_test","TestFooter","","","Verify composition and visibility of elements on the 1st-7th levels of nesting in the Footer",""
