"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Mar 01 02:00:13 GMT 2025","Sat Mar 01 02:00:18 GMT 2025","4983","tests","header_test","TestHeaderPage","","","Verify if internal links in the Header lead to correct pages after click",""
"passed","Sat Mar 01 01:52:31 GMT 2025","Sat Mar 01 01:52:31 GMT 2025","28","tests","contacts_page_test","TestContactsPage","","","Verify text in links in the section 2",""
"passed","Sat Mar 01 02:12:44 GMT 2025","Sat Mar 01 02:12:44 GMT 2025","48","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify values of titles and subtitles with tags h2, h4 on the page",""
"broken","Sat Mar 01 01:58:45 GMT 2025","Sat Mar 01 01:58:45 GMT 2025","0","tests","footer_test","TestFooter","","","Verify Footer invisibility through the modal window with the exercise",""
"broken","Sat Mar 01 01:56:25 GMT 2025","Sat Mar 01 01:57:06 GMT 2025","40460","tests","description_page_test","TestDescriptionPage","","","Verify redirection to contributors page not authorized user.",""
"passed","Sat Mar 01 02:12:48 GMT 2025","Sat Mar 01 02:12:48 GMT 2025","68","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify content of the text in sections 1, 2",""
"skipped","Sat Mar 01 02:20:39 GMT 2025","Sat Mar 01 02:20:39 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова Королёвой"" .",""
"broken","Sat Mar 01 02:05:31 GMT 2025","Sat Mar 01 02:06:11 GMT 2025","40424","tests","main_page_test","TestMainPage","","","Verify redirection to specialists page not authorized user.",""
"broken","Sat Mar 01 02:03:50 GMT 2025","Sat Mar 01 02:04:30 GMT 2025","40402","tests","main_page_test","TestMainPage","","","Verify redirection to description page not authorized user.",""
"passed","Sat Mar 01 02:10:01 GMT 2025","Sat Mar 01 02:10:01 GMT 2025","751","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty first name",""
"broken","Sat Mar 01 02:08:37 GMT 2025","Sat Mar 01 02:09:17 GMT 2025","40393","tests","main_page_test","TestMainPage","","","Checking the clickability of the Registration button.",""
"passed","Sat Mar 01 01:51:52 GMT 2025","Sat Mar 01 01:51:52 GMT 2025","28","tests","contacts_page_test","TestContactsPage","","","Verify presence and visibility of content on the page",""
"skipped","Sat Mar 01 02:13:11 GMT 2025","Sat Mar 01 02:13:11 GMT 2025","0","tests","Speech exercises EN.","TestCardsEN","","","Select random card from ""Word"" group and compare UI vs BACKEND data",""
"passed","Sat Mar 01 01:58:23 GMT 2025","Sat Mar 01 01:58:32 GMT 2025","8627","tests","footer_test","TestFooter","","","Verify that links in the Footer lead to correct pages after clicking",""
"broken","Sat Mar 01 02:02:16 GMT 2025","Sat Mar 01 02:02:16 GMT 2025","0","tests","header_test","TestHeaderPage","","","Verify presence, visibility of links, buttons in the Header for an authorized user",""
"passed","Sat Mar 01 01:53:48 GMT 2025","Sat Mar 01 01:53:49 GMT 2025","1161","tests","contributors_page_test","TestContributorsPage","","","Verify sizes of images in contributor cards in grids",""
"passed","Sat Mar 01 01:52:36 GMT 2025","Sat Mar 01 01:52:37 GMT 2025","755","tests","contacts_page_test","TestContactsPage","","","Verify presence, visibility, clickability, href, prefix, status code of links in the section 2",""
"broken","Sat Mar 01 02:00:46 GMT 2025","Sat Mar 01 02:00:46 GMT 2025","0","tests","header_test","TestHeaderPage","","","Verify presence and visibility of the Header for an authorized user",""
"passed","Sat Mar 01 02:12:53 GMT 2025","Sat Mar 01 02:12:53 GMT 2025","40","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify text in the 'Login' link in the section 1",""
