"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Feb 16 01:56:23 GMT 2025","Sun Feb 16 01:56:23 GMT 2025","0","tests","footer_test","TestFooter","","","Verify Footer invisibility through the modal window with the exercise",""
"passed","Sun Feb 16 01:51:24 GMT 2025","Sun Feb 16 01:51:25 GMT 2025","1159","tests","contributors_page_test","TestContributorsPage","","","Verify sizes of images in contributor cards in grids",""
"skipped","Sun Feb 16 02:12:19 GMT 2025","Sun Feb 16 02:12:19 GMT 2025","0","tests","Speech exercises EN.","TestCardsEN","","","Select a random card from ""Similar phrases"" group and compare UI vs BACKEND data",""
"passed","Sun Feb 16 01:49:34 GMT 2025","Sun Feb 16 01:49:34 GMT 2025","20","tests","contacts_page_test","TestContactsPage","","","Verify the composition and visibility of elements on the 1st level of nesting in the section 1",""
"passed","Sun Feb 16 02:10:18 GMT 2025","Sun Feb 16 02:10:18 GMT 2025","11","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify value of the title of the tab",""
"passed","Sun Feb 16 02:10:09 GMT 2025","Sun Feb 16 02:10:09 GMT 2025","85","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify the composition and visibility of elements 
        on the 1st-3rd levels of nesting in the section 1",""
"passed","Sun Feb 16 01:50:30 GMT 2025","Sun Feb 16 01:50:30 GMT 2025","35","tests","contributors_page_test","TestContributorsPage","","","Verify presence, visibility and structure of content on the page",""
"passed","Sun Feb 16 01:50:40 GMT 2025","Sun Feb 16 01:50:42 GMT 2025","1675","tests","contributors_page_test","TestContributorsPage","","","Verify presence, visibility of titles/subtitles, cards, descriptions, links, images on the page",""
"passed","Sun Feb 16 01:55:35 GMT 2025","Sun Feb 16 01:55:35 GMT 2025","250","tests","footer_test","TestFooter","","","Verify composition and visibility of elements on the 1st-7th levels of nesting in the Footer",""
"skipped","Sun Feb 16 02:11:34 GMT 2025","Sun Feb 16 02:11:34 GMT 2025","0","tests","Speech exercises EN.","TestCardsEN","","","Check progres-bar and buttons.",""
"passed","Sun Feb 16 02:10:22 GMT 2025","Sun Feb 16 02:10:22 GMT 2025","48","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify values of titles and subtitles with tags h2, h4 on the page",""
"passed","Sun Feb 16 01:55:39 GMT 2025","Sun Feb 16 01:55:39 GMT 2025","157","tests","footer_test","TestFooter","","","Verify presence, visibility of text, links, images in the Footer",""
"passed","Sun Feb 16 02:09:51 GMT 2025","Sun Feb 16 02:09:51 GMT 2025","108","tests","specialists_page_test","TestSpecialistsPage","","","Verify attributes of images in specialist cards in the grid",""
"skipped","Sun Feb 16 02:16:04 GMT 2025","Sun Feb 16 02:16:04 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Предложения"" group and compare UI vs BACKEND data.",""
"passed","Sun Feb 16 01:50:07 GMT 2025","Sun Feb 16 01:50:07 GMT 2025","29","tests","contacts_page_test","TestContactsPage","","","Verify text in links in the section 2",""
"broken","Sun Feb 16 02:09:01 GMT 2025","Sun Feb 16 02:09:01 GMT 2025","0","tests","specialists_page_test","TestSpecialistsPage","","","Verify that the 'All Specialists' link leads an authorized user 
                         to the correct page after clicking",""
"passed","Sun Feb 16 02:10:31 GMT 2025","Sun Feb 16 02:10:31 GMT 2025","50","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify text in the 'Login' link in the section 1",""
"passed","Sun Feb 16 01:49:39 GMT 2025","Sun Feb 16 01:49:39 GMT 2025","136","tests","contacts_page_test","TestContactsPage","","","Verify the composition and visibility of elements 
        on the 1st-5th levels of nesting in the section 2",""
"broken","Sun Feb 16 01:59:53 GMT 2025","Sun Feb 16 01:59:53 GMT 2025","0","tests","header_test","TestHeaderPage","","","Verify presence, visibility of links, buttons in the Header for an authorized user",""
"failed","Sun Feb 16 01:57:40 GMT 2025","Sun Feb 16 01:57:45 GMT 2025","4926","tests","header_test","TestHeaderPage","","","Verify clickability, href, status code of links in the Header",""
"passed","Sun Feb 16 01:55:44 GMT 2025","Sun Feb 16 01:55:44 GMT 2025","47","tests","footer_test","TestFooter","","","Verify content of text in the Footer",""
"passed","Sun Feb 16 01:55:48 GMT 2025","Sun Feb 16 01:55:48 GMT 2025","46","tests","footer_test","TestFooter","","","Verify text in the 'Contact us' link in the Footer",""
"passed","Sun Feb 16 01:50:46 GMT 2025","Sun Feb 16 01:50:46 GMT 2025","14","tests","contributors_page_test","TestContributorsPage","","","Verify value of the title of the tab",""
"passed","Sun Feb 16 01:56:14 GMT 2025","Sun Feb 16 01:56:14 GMT 2025","128","tests","footer_test","TestFooter","","","Verify that the 'Contact us' link in the Footer calls an email client",""
"passed","Sun Feb 16 01:49:51 GMT 2025","Sun Feb 16 01:49:51 GMT 2025","13","tests","contacts_page_test","TestContactsPage","","","Verify value of the title of the tab",""
"passed","Sun Feb 16 01:57:59 GMT 2025","Sun Feb 16 01:58:01 GMT 2025","1940","tests","header_test","TestHeaderPage","","","Verify if external links in the Header lead to correct pages after click",""
"broken","Sun Feb 16 02:25:49 GMT 2025","Sun Feb 16 02:25:49 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify that links in the sections lead to the correct pages after clicking",""
"broken","Sun Feb 16 02:26:34 GMT 2025","Sun Feb 16 02:26:34 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility and attributes of icons in sections",""
"skipped","Sun Feb 16 02:13:04 GMT 2025","Sun Feb 16 02:13:04 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select random card from group ""Слова"" and compare UI vs BACKEND data.",""
"passed","Sun Feb 16 02:08:36 GMT 2025","Sun Feb 16 02:08:36 GMT 2025","35","tests","specialists_page_test","TestSpecialistsPage","","","Verify value of text on the page",""
"passed","Sun Feb 16 02:09:56 GMT 2025","Sun Feb 16 02:09:56 GMT 2025","154","tests","specialists_page_test","TestSpecialistsPage","","","Verify sizes of images in specialist cards in the grid",""
"passed","Sun Feb 16 02:07:47 GMT 2025","Sun Feb 16 02:07:48 GMT 2025","731","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty email",""
"passed","Sun Feb 16 01:49:16 GMT 2025","Sun Feb 16 01:49:18 GMT 2025","1142","tests","authorisation_page_test","TestAuthorizedUserPage","","","Checking the possibility of authorization with the correct data",""
"skipped","Sun Feb 16 02:18:19 GMT 2025","Sun Feb 16 02:18:19 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова Королёвой"" .",""
"passed","Sun Feb 16 02:07:57 GMT 2025","Sun Feb 16 02:07:58 GMT 2025","670","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing agreement",""
"skipped","Sun Feb 16 02:14:34 GMT 2025","Sun Feb 16 02:14:34 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Похожие фразы"" group and compare UI vs BACKEND data.",""
"broken","Sun Feb 16 01:52:26 GMT 2025","Sun Feb 16 01:53:06 GMT 2025","40484","tests","description_page_test","TestDescriptionPage","","","Verify redirection to contacts page not authorized user.",""
"broken","Sun Feb 16 02:00:38 GMT 2025","Sun Feb 16 02:00:38 GMT 2025","0","tests","login_page_test","TestLoginPage","","","Test for authorization customer.",""
"failed","Sun Feb 16 02:10:35 GMT 2025","Sun Feb 16 02:10:36 GMT 2025","623","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify presence, visibility, clickability, href, status code 
                         of the 'Login' link in the section 1",""
"passed","Sun Feb 16 02:08:09 GMT 2025","Sun Feb 16 02:08:09 GMT 2025","327","tests","specialists_page_test","TestSpecialistsPage","","","Verify the composition and visibility of elements 
        on the 1st-6th levels of nesting on the page",""
"passed","Sun Feb 16 01:58:19 GMT 2025","Sun Feb 16 01:58:19 GMT 2025","50","tests","header_test","TestHeaderPage","","","Verify presence, visibility and attributes of the image in the 'Logo' link",""
"passed","Sun Feb 16 01:49:28 GMT 2025","Sun Feb 16 01:49:28 GMT 2025","29","tests","contacts_page_test","TestContactsPage","","","Verify presence and visibility of content on the page",""
"failed","Sun Feb 16 01:56:18 GMT 2025","Sun Feb 16 01:56:18 GMT 2025","78","tests","footer_test","TestFooter","","","Verify attributes of images in links in the Footer",""
"passed","Sun Feb 16 01:58:14 GMT 2025","Sun Feb 16 01:58:14 GMT 2025","236","tests","header_test","TestHeaderPage","","","Verify switching of the 'ru' and 'en' buttons in the Header",""
"broken","Sun Feb 16 02:03:58 GMT 2025","Sun Feb 16 02:04:38 GMT 2025","40470","tests","main_page_test","TestMainPage","","","Verify redirection to contributors page not authorized user.",""
"broken","Sun Feb 16 01:54:46 GMT 2025","Sun Feb 16 01:55:26 GMT 2025","40466","tests","description_page_test","TestDescriptionPage","","","Verify redirection to used resources page not authorized user.",""
"skipped","Sun Feb 16 02:17:33 GMT 2025","Sun Feb 16 02:17:33 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова"" .",""
"passed","Sun Feb 16 01:57:16 GMT 2025","Sun Feb 16 01:57:27 GMT 2025","10378","tests","header_test","TestHeaderPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an unauthorized user",""
"passed","Sun Feb 16 02:08:42 GMT 2025","Sun Feb 16 02:08:42 GMT 2025","106","tests","specialists_page_test","TestSpecialistsPage","","","Verify values of names and professions in specialist cards in the grid",""
"passed","Sun Feb 16 02:08:03 GMT 2025","Sun Feb 16 02:08:03 GMT 2025","30","tests","specialists_page_test","TestSpecialistsPage","","","Verify presence and visibility of content on the page",""
"passed","Sun Feb 16 01:56:00 GMT 2025","Sun Feb 16 01:56:10 GMT 2025","9780","tests","footer_test","TestFooter","","","Verify that links in the Footer lead to correct pages after clicking",""
"passed","Sun Feb 16 01:52:20 GMT 2025","Sun Feb 16 01:52:21 GMT 2025","1197","tests","description_page_test","TestDescriptionPage","","","Verify redirection to donate page not authorized user.",""
"passed","Sun Feb 16 01:53:55 GMT 2025","Sun Feb 16 01:53:57 GMT 2025","1417","tests","description_page_test","TestDescriptionPage","","","Verify redirection to github not authorized user.",""
"passed","Sun Feb 16 02:07:37 GMT 2025","Sun Feb 16 02:07:38 GMT 2025","759","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty first name",""
"passed","Sun Feb 16 02:07:42 GMT 2025","Sun Feb 16 02:07:43 GMT 2025","765","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty birthday",""
"skipped","Sun Feb 16 02:15:19 GMT 2025","Sun Feb 16 02:15:19 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Группа слов"" group and compare UI vs BACKEND data.",""
"passed","Sun Feb 16 01:55:52 GMT 2025","Sun Feb 16 01:55:56 GMT 2025","3313","tests","footer_test","TestFooter","","","Verify clickability, href, prefix and subject, status code of links in the Footer",""
"passed","Sun Feb 16 01:50:25 GMT 2025","Sun Feb 16 01:50:25 GMT 2025","102","tests","contacts_page_test","TestContactsPage","","","Verify that the email link calls an email client",""
"broken","Sun Feb 16 02:20:34 GMT 2025","Sun Feb 16 02:20:34 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence and visibility of content on the page",""
"passed","Sun Feb 16 01:51:19 GMT 2025","Sun Feb 16 01:51:20 GMT 2025","828","tests","contributors_page_test","TestContributorsPage","","","Verify attribute values of images in contributors cards in grids",""
"passed","Sun Feb 16 01:58:10 GMT 2025","Sun Feb 16 01:58:10 GMT 2025","303","tests","header_test","TestHeaderPage","","","Verify the dropdown opens/closes after clicking on the 'More' button in the Header",""
"broken","Sun Feb 16 02:03:08 GMT 2025","Sun Feb 16 02:03:48 GMT 2025","40479","tests","main_page_test","TestMainPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Sun Feb 16 01:55:30 GMT 2025","Sun Feb 16 01:55:31 GMT 2025","44","tests","footer_test","TestFooter","","","Verify presence and visibility of the Footer",""
"broken","Sun Feb 16 01:53:10 GMT 2025","Sun Feb 16 01:53:51 GMT 2025","40475","tests","description_page_test","TestDescriptionPage","","","Verify redirection to specialists page not authorized user.",""
"broken","Sun Feb 16 01:54:01 GMT 2025","Sun Feb 16 01:54:41 GMT 2025","40453","tests","description_page_test","TestDescriptionPage","","","Verify redirection to contributors page not authorized user.",""
"skipped","Sun Feb 16 02:19:04 GMT 2025","Sun Feb 16 02:19:04 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Solutions to a random task in the ""Слова"" group and comparison of statics.",""
"broken","Sun Feb 16 02:22:04 GMT 2025","Sun Feb 16 02:22:04 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify value of the title of the tab",""
"passed","Sun Feb 16 01:58:05 GMT 2025","Sun Feb 16 01:58:05 GMT 2025","146","tests","header_test","TestHeaderPage","","","Verify that the 'Logo' link on the Start Unauthorized Page 
                             doesn't refresh the current page or lead to other pages after clicking",""
"passed","Sun Feb 16 01:57:36 GMT 2025","Sun Feb 16 01:57:36 GMT 2025","201","tests","header_test","TestHeaderPage","","","Verify values of the text in links, buttons in the Header",""
"passed","Sun Feb 16 02:07:52 GMT 2025","Sun Feb 16 02:07:53 GMT 2025","702","tests","registration_page_test","TestRegistrationPage","","","Check registration without choosing gender",""
"passed","Sun Feb 16 01:50:55 GMT 2025","Sun Feb 16 01:50:55 GMT 2025","23","tests","contributors_page_test","TestContributorsPage","","","Verify content of the text on the page",""
"passed","Sun Feb 16 01:57:12 GMT 2025","Sun Feb 16 01:57:12 GMT 2025","34","tests","header_test","TestHeaderPage","","","Verify presence and visibility of the Header for an unauthorized user",""
"broken","Sun Feb 16 01:59:08 GMT 2025","Sun Feb 16 01:59:08 GMT 2025","0","tests","header_test","TestHeaderPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an authorized user",""
"failed","Sun Feb 16 01:51:14 GMT 2025","Sun Feb 16 01:51:14 GMT 2025","303","tests","contributors_page_test","TestContributorsPage","","","Verify href, status code of the 'All Team' link",""
