"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jan 07 01:52:39 GMT 2025","Tue Jan 07 01:52:39 GMT 2025","0","tests","header_test","TestHeaderPage","","","Verify presence and visibility of the Header for an authorized user",""
"passed","Tue Jan 07 01:44:27 GMT 2025","Tue Jan 07 01:44:27 GMT 2025","29","tests","contacts_page_test","TestContactsPage","","","Verify content of the text in the section 2",""
"broken","Tue Jan 07 02:00:25 GMT 2025","Tue Jan 07 02:01:05 GMT 2025","40356","tests","main_page_test","TestMainPage","","","Checking the clickability of the Registration button.",""
"skipped","Tue Jan 07 02:08:36 GMT 2025","Tue Jan 07 02:08:36 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Похожие фразы"" group and compare UI vs BACKEND data.",""
"passed","Tue Jan 07 02:02:33 GMT 2025","Tue Jan 07 02:02:33 GMT 2025","12","tests","specialists_page_test","TestSpecialistsPage","","","Verify value of the title of the tab",""
"failed","Tue Jan 07 01:45:28 GMT 2025","Tue Jan 07 01:45:29 GMT 2025","465","tests","contributors_page_test","TestContributorsPage","","","Verify text in card links and the 'All Team' link",""
"passed","Tue Jan 07 02:02:38 GMT 2025","Tue Jan 07 02:02:38 GMT 2025","35","tests","specialists_page_test","TestSpecialistsPage","","","Verify value of title with tag 'h2' on the page",""
"passed","Tue Jan 07 01:50:00 GMT 2025","Tue Jan 07 01:50:00 GMT 2025","143","tests","footer_test","TestFooter","","","Verify presence, visibility of text, links, images in the Footer",""
"skipped","Tue Jan 07 02:07:06 GMT 2025","Tue Jan 07 02:07:06 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select random card from group ""Слова"" and compare UI vs BACKEND data.",""
"broken","Tue Jan 07 01:47:32 GMT 2025","Tue Jan 07 01:48:13 GMT 2025","40485","tests","description_page_test","TestDescriptionPage","","","Verify redirection to specialists page not authorized user.",""
"passed","Tue Jan 07 01:52:39 GMT 2025","Tue Jan 07 01:52:39 GMT 2025","52","tests","header_test","TestHeaderPage","","","Verify size of the image in the 'Logo' link",""
"skipped","Tue Jan 07 02:09:20 GMT 2025","Tue Jan 07 02:09:20 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Группа слов"" group and compare UI vs BACKEND data.",""
"passed","Tue Jan 07 01:50:12 GMT 2025","Tue Jan 07 01:50:16 GMT 2025","3239","tests","footer_test","TestFooter","","","Verify clickability, href, prefix and subject, status code of links in the Footer",""
"passed","Tue Jan 07 02:04:30 GMT 2025","Tue Jan 07 02:04:30 GMT 2025","68","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify content of the text in sections 1, 2",""
"passed","Tue Jan 07 02:04:51 GMT 2025","Tue Jan 07 02:04:51 GMT 2025","85","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify size of the image in the section 1",""
"broken","Tue Jan 07 01:50:43 GMT 2025","Tue Jan 07 01:50:43 GMT 2025","0","tests","footer_test","TestFooter","","","Verify Footer invisibility through the modal window with the exercise",""
"passed","Tue Jan 07 01:44:37 GMT 2025","Tue Jan 07 01:44:38 GMT 2025","753","tests","contacts_page_test","TestContactsPage","","","Verify presence, visibility, clickability, href, prefix, status code of links in the section 2",""
"passed","Tue Jan 07 02:04:18 GMT 2025","Tue Jan 07 02:04:18 GMT 2025","141","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify the composition and visibility of elements 
        on the 1st-3rd levels of nesting in the section 2",""
"passed","Tue Jan 07 02:01:37 GMT 2025","Tue Jan 07 02:01:38 GMT 2025","766","tests","registration_page_test","TestRegistrationPage","","","Check registration with new email and empty confirm password",""
"passed","Tue Jan 07 02:04:43 GMT 2025","Tue Jan 07 02:04:43 GMT 2025","151","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify that the 'Login' link leads to the correct page after clicking",""
"passed","Tue Jan 07 02:04:13 GMT 2025","Tue Jan 07 02:04:14 GMT 2025","136","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify the composition and visibility of elements 
        on the 1st-3rd levels of nesting in the section 1",""
"passed","Tue Jan 07 01:48:17 GMT 2025","Tue Jan 07 01:48:18 GMT 2025","1549","tests","description_page_test","TestDescriptionPage","","","Verify redirection to github not authorized user.",""
"passed","Tue Jan 07 02:04:26 GMT 2025","Tue Jan 07 02:04:26 GMT 2025","49","tests","start_unauthorized_page_test","TestStartUnauthorizedPage","","","Verify values of titles and subtitles with tags h2, h4 on the page",""
"passed","Tue Jan 07 01:45:11 GMT 2025","Tue Jan 07 01:45:11 GMT 2025","14","tests","contributors_page_test","TestContributorsPage","","","Verify value of the title of the tab",""
"broken","Tue Jan 07 01:54:53 GMT 2025","Tue Jan 07 01:54:53 GMT 2025","0","tests","login_page_test","TestLoginPage","","","Test for authorization customer.",""
"broken","Tue Jan 07 02:19:02 GMT 2025","Tue Jan 07 02:19:02 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify presence, visibility, clickability, href, status code of links in sections",""
"passed","Tue Jan 07 01:44:43 GMT 2025","Tue Jan 07 01:44:45 GMT 2025","1486","tests","contacts_page_test","TestContactsPage","","","Verify if links in the section 2 lead to the correct pages after clicking",""
"broken","Tue Jan 07 02:16:47 GMT 2025","Tue Jan 07 02:16:47 GMT 2025","0","tests","used_resources_page_test","TestUsedResourcesPage","","","Verify value of title with tag 'h1' on the page",""
"passed","Tue Jan 07 01:45:42 GMT 2025","Tue Jan 07 01:45:43 GMT 2025","829","tests","contributors_page_test","TestContributorsPage","","","Verify attribute values of images in contributors cards in grids",""
"skipped","Tue Jan 07 02:07:51 GMT 2025","Tue Jan 07 02:07:51 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select random card from group ""Слова Королёвой"" and compare UI vs BACKEND data.",""
"broken","Tue Jan 07 01:53:24 GMT 2025","Tue Jan 07 01:53:24 GMT 2025","0","tests","header_test","TestHeaderPage","","","Verify composition, visibility of elements on the 1st-6th levels of nesting in the Header
            for an authorized user",""
"skipped","Tue Jan 07 02:10:50 GMT 2025","Tue Jan 07 02:10:50 GMT 2025","0","tests","Речевые упражнения.","TestCardsRU","","","Select a random card from ""Слова с частотной группировкой"" group and compare UI vs BACKEND data.",""
"failed","Tue Jan 07 02:02:59 GMT 2025","Tue Jan 07 02:02:59 GMT 2025","546","tests","specialists_page_test","TestSpecialistsPage","","","Verify clickability, href, status code of the 'All Specialists' link",""
"passed","Tue Jan 07 01:50:04 GMT 2025","Tue Jan 07 01:50:04 GMT 2025","57","tests","footer_test","TestFooter","","","Verify content of text in the Footer",""
